,id,label
0,0,1
1,2,1
2,3,1
3,9,1
4,11,1
5,12,1
6,21,0
7,22,0
8,27,0
9,29,0
10,30,0
11,35,0
12,42,0
13,43,0
14,45,0
15,46,1
16,47,0
17,51,0
18,58,0
19,60,0
20,69,0
21,70,0
22,72,0
23,75,1
24,84,0
25,87,0
26,88,0
27,90,0
28,94,0
29,99,1
30,101,0
31,103,0
32,106,0
33,108,0
34,111,1
35,115,0
36,116,0
37,122,0
38,123,0
39,124,1
40,125,0
41,127,1
42,140,0
43,142,0
44,147,0
45,148,0
46,150,0
47,152,0
48,154,1
49,155,0
50,166,0
51,167,0
52,169,1
53,177,0
54,179,0
55,181,0
56,186,0
57,188,0
58,189,0
59,192,0
60,200,1
61,202,1
62,206,1
63,207,1
64,214,1
65,217,1
66,223,0
67,224,1
68,227,1
69,228,1
70,230,0
71,233,1
72,234,1
73,236,1
74,239,1
75,250,1
76,255,0
77,257,1
78,259,0
79,275,1
80,278,0
81,282,1
82,284,0
83,286,1
84,288,1
85,292,1
86,295,0
87,300,0
88,304,1
89,305,1
90,306,0
91,308,1
92,311,0
93,317,0
94,319,0
95,323,0
96,324,0
97,325,1
98,326,1
99,333,1
100,339,0
101,342,0
102,343,0
103,350,1
104,351,0
105,357,0
106,359,0
107,362,0
108,366,0
109,367,0
110,369,1
111,373,0
112,374,1
113,376,0
114,377,1
115,378,0
116,379,0
117,382,1
118,385,1
119,387,0
120,388,0
121,391,0
122,392,0
123,395,0
124,399,0
125,400,0
126,403,0
127,405,0
128,408,0
129,411,0
130,414,0
131,416,0
132,417,1
133,422,0
134,425,0
135,428,0
136,430,0
137,431,0
138,433,0
139,434,0
140,439,0
141,441,0
142,449,0
143,458,0
144,460,0
145,464,0
146,473,1
147,488,0
148,491,0
149,494,1
150,497,0
151,500,0
152,505,0
153,507,0
154,508,0
155,510,0
156,511,0
157,515,1
158,525,0
159,529,0
160,532,0
161,534,0
162,537,0
163,539,0
164,541,0
165,545,0
166,547,1
167,548,1
168,549,1
169,553,1
170,554,0
171,555,1
172,557,1
